àbac	ábaco
interconnexió	
interculturalitat	
interdependència	
interdicció	
interdicte	
interdisciplinarietat	
interdisciplinaritat	
intereix	
interès	
interessat	
interfase	
interferència	
interferó	
interferòmetre	
interfície	
interfluvi	
intèrfon	
intergovernabilitat	
intergovernamentalisme	
intergrup	
interinitat	
interior	
interiorisme	
interioritat	
interiorització	
interjecció	interjeição
interleucina	
interlineat	
interlingua	
interlletratge	
interlocució	
interlocutor	
interludi	
intermedi	
intermediació	
intermediari	
intermembrana	
intermissió	
intermitència	
intermitent	
intermodalitat	
intermodulació	
intermunicipalitat	
intern	
internació	
internacionalisme	
internacionalitat	
internacionalització	
internalització	
internament	
internat	
internauta	
internet	
internista	
interoperabilitat	
interoperativitat	
interpel·lació	
interpenetració	
interpolació	
interposició	
intèrpret	
interpretació	
interregne	
interrelació	
interrogació	
interrogador	
interrogant	
interrogatori	
interrupció	
interruptor	
intersecció	
interseccionalitat	
interservei	
intersexualitat	
interstici	
intersubjectivitat	
interval	
intervenció	
intervencionisme	
interventor	
intervinent	
intestí	
intifada	
intimació	
intimidació	
intimisme	
intimista	
intimitat	
intocable	
intolerabilitat	
intolerància	
intoxicació	
intr.	
intradisciplinarietat	
intradós	
intranet	
intranquil·litat	
intransigència	
intransmissibilitat	
intransmutabilitat	
intrepidesa	
intriga	
intro	
intró	
introducció	
intromissió	
introspecció	
introversió	
intrús	
intrusió	
intrusisme	
intubació	
intuïció	
intuïcionisme	
intussuscepció	
inuit	
inulina	
inundabilitat	
inundació	
inútil	inútil
inútil	inútil
inutilitat	
inutilització	
invaginació	
invàlid	
invalidació	
invalidesa	
invariabilitat	
invariància	
invasió	
invasor	
invectiva	
invencibilitat	
invenció	
invent	
inventari	
inventiva	
inventor	
inversemblança	
inversió	
inversió immobiliària	
inversionista	
inversor	
invertebrat	
investidura	
investigació	
investigador	
inviabilitat	
invident	
inviolabilitat	
invisibilitat	
invitació	
invitat	
invocació	
involució	
involucració	
involucrament	
involuta	
invulnerabilitat	
iod	
iodació	
iode	iodo
iodur	
ioga	
iogurt	
io-io	
iol	
ionització	
ionosfera	
ionqui	
iot	
iotització	
IP	
IPC	
IPCA	
iperita	
ipomea	
ipseïtat	
ira	ira
IRA	
iranià	
iraquià	
irascibilitat	
iridescència	
iridi	irídio
iridotomia	
iris	
irlandès	
ironia	
ironman	
ironwoman	
IRPF	
irracionalisme	
irracionalitat	
irradiació	
irradiància	
irrealitat	
irrecuperabilitat	
irreductibilitat	
irreflexió	
irregularitat	
irreligiositat	
irrellevància	
irrenunciabilitat	
irresolució	
irresponsabilitat	
irreverència	
irreversibilitat	
irrevocabilitat	
irrigació	
irrigador	
irrisió	
irritabilitat	
irritació	
irrogació	
irrupció	
ISAF	
isard	
ISBN	
ISDN	
islam	
islamisme	
islamista	
islamització	
islamofòbia	
islandès	
ISO	
isòbara	
isocompactació	
isocronisme	
isogàmia	
isoglossa	
isoglucosa	
isògona	
isohèlia	
isohieta	
isohipsa	
isolació	
isòmer	
isomerasa	
isomeria	
isometria	
isomorfisme	
isopleta	
isostàsia	
isoterma	
isòtop	isótopo
isotopia	
isotropia	
isquèmia	
isqui	
israelià	
istme	
ITACA	
italià	
italoamericà	
italòfon	
ítem	
iteració	
iterbi	itérbio
itinerància	
itinerari	
itri	ítrio
ITV	
iuan	
iuca	
iugoslau	
IUN	
iurta	
IVA	
IVAJ	
ivori	
ivorià	
j	
jaç	
jaciment	
jacint	
jack	
jacobí	
jacobinisme	
jacobita	
jactància	
jade	
jadeïta	
jaguar	
jai	
jainisme	
jaló	
jalonament	
jamaicà	
japonès	
jaqué	
jaqueta	jaqueta
jardí	
jardiner	jardineiro
jardinera	
jardineria	
jargó	
jarosita	
Jar-ptitsa	
jaspi	
jàssera	
javanès	
javelina	
jazz	
jeans	
jeep	
jejú	
jeltzale	
jerarca	
jerarquia	
jerarquització	
jerbu	
jeroglífic	
jersei	
jesuïta	
jet	
jihad	
jihadisme	
jihadista	
jivarització	
jívaro	
JJOO	
joc	
joc de rol	
joc de taula	
joc de triler	
joc de xips	
joc net	
jocositat	
jocunditat	
joglaria	
jogueter	
joguina	
joguinaire	
joia	
joier	
joieria	
jojoba	
jonc	
jònec	
jonquera	
joquei	
jòquer	
jordà	
jornada	
jornal	
jornaler	
jota	
jou	jugo
joule	
jove	jovem
jovenalla	
jovent	
joventut	
jovialitat	
joystick	
JPEG	
JPL	
JT	
jubilació	
jubilat	
jubileu	
judaisme	
judeocristianisme	
judicatura	
judici	
judo	
judoka	
jueria	
jueu	
jugabilitat	
jugada	
jugador	
jugador de paleta	
jugador d'escacs	
jugular	
juí	
jul.	
juliol	julho
julivert	
julivert de muntanya	
jumbo	
jungla	
júnior	
junta	
junta directiva	
juntura	
juny	junho
jupetí	
jurament	
jurat	
jurisconsult	
jurisdicció	
jurisdicció contenciosa administrativa	
jurisprudència	
jurista	
justícia	
justiciable	
justicier	
justificació	
justificant	
justificant de recepció	
jute	
jutge	
jutgessa	
jutjat	
jutjat contenciós administratiu	
juxtaposició	
k	
kabuki	
kàiser	cáiser
kale borroka	
kamikaze	
kanji	
kaó	káon
karaoke	
karate	
karateka	
karma	
kart	
katakana	
kazak	
kazakh	
KB	
kebab	
kelvin	
kemalisme	
kendo	
kenià	
ketamina	
kg	
KGB	
khmer	
kHz	
kick-boxing	
kilobit	
kilobyte	
kilòmetre	
kilooctet	
kilotona	
kilowatt	
kimberlita	
kirchnerista	
kirguís	
kiribatià	
kirieleison	
kit	
kitsch	
kiwi	
kJ	
Kl	
km	
know-how	
knut	
KO	
koiné	
kosovar	
koto	
krausisme	
krill	
ksi	
KTM	
kumite	
kurd	
kuwaitià	
kV	
kVA	
kW	
kWh	
l	
LAB	
label	
laberint	labirinto
laberint	labirinto
labialització	
labilitat	
labor	
laboratori	
laboriositat	
laborisme	
laborista	
laca	
lacai	
la cançó de l'enfadós	
lacat	
lacatge	
lacedemoni	
lacòlit	
laconi	
laconisme	
lacrosse	
lactació	
lactància	
lactant	
lactasa	
lactat	
lactosa	
ladí	
la Florida	
laic	
laïcisme	
laïcista	
laïcització	
laissez faire	
laleig	
lamarckisme	
lambda	
lamel·la	
lamel·libranqui	
lament	
lamentació	
làmina	
laminació	
laminador	
laminatge	
lamineta	
làmpada	
làmpada d'incadescència	
lampadari	
lampista	
lampisteria	
lampròfir	
LAN	
land	
Länder	
lanolina	
lantani	lantânio
lantànid	
laosià	
laparoscopi	
laparoscòpia	
laparotomia	
làpida	
lapidació	
lapislàtzuli	
lapó	
lapse	
lapsus	
laringe	
laringitis	
laringologia	
laringoscopi	
laringotomia	
làrix	
larva	
lasanya	
lascívia	
làser	
laserteràpia	
lassitud	
lasur	
latència	
lateral	
lateralitat	
lateralització	
laterita	
làtex	
latifundi	
latifundista	
latitud	
latrina	
latzurita	
laude	
la una i mitja	
la una i quart	
la una menys quart	
lava	
lavabo	
lavanda	
lavandí	
lavativa	
lawrenci	laurêncio
laxant	
laxisme	
laxitud	
LCD	
lecitina	
lectina	
lectoescriptura	
lector	
lectorat	
lectura	
led	
LED	
legació	
legalisme	
legalitat	
legalització	
legió	
legionari	
legionel·la	
legionel·losi	
legislació	
legislador	
legislatura	
legitimació	
legitimitat	
lehendakari	
leishmània	
leitmotiv	
lema	
lema de bombeig	
lematització	
lèmur	
leninisme	
leninista	
lenitat	
lent	lento
lent de contacte	
lentificació	
lentilla	
lentitud	
leotard	
lepidocrocita	
lepidolita	
lepidòpter	
lepra	
lepromina	
leprós	
leproseria	
leptó	lépton
lesbi	
lesbiana	
lesbianisme	
les cinc i mitja	
les cinc i quart	
les cinc menys quart	
les deu i mitja	
les deu i quart	
les deu menys quart	
les dos i mitja	
les dos i quart	
les dos menys quart	
les dotze i mitja	
les dotze i quart	
les dotze menys quart	
les huit i mitja	
les huit i quart	
les huit menys quart	
lesió	
lesivitat	
les nou i mitja	
les nou i quart	
les nou menys quart	
les onze i mitja	
les onze i quart	
les onze menys quart	
lesothià	
les quatre i mitja	
les quatre i quart	
les quatre menys quart	
les set i mitja	
les set i quart	
les set menys quart	
les sis i mitja	
les sis i quart	
les sis menys quart	
les tres i mitja	
les tres i quart	
les tres menys quart	
letargia	
letó	
leu	
leucafèresi	
leucèmia	
leucina	
leucòcit	
leucocitosi	
leucoma	
leucopènia	
leucoplast	
leucosi	
levantinista	
levita	
levitació	
levitat	
levodopa	
lexema	
lèxic	
lexicalització	
lexicògraf	
lexicografia	
lexicologia	
LGBT	
liana	
libanès	
libèl·lula	
líber	
liberal	
liberalisme	
liberalitat	
liberalització	
liberià	
libi	
libidinositat	
libido	
licantrop	
licantropia	
liceu	
lici	
licitació	
licitador	
licitud	
licopé	
licor	
licorera	
licor espirituós	
líder	
liderat	
lideratge	
lidita	
ligasa	
lignina	
lignit	
ligroïna	
lígur	
lila	
lilà	
limbe	
limfa	
limfòcit	
limfoedema	
limfoma	
límit	
limitació	
limnologia	
limonita	
limpidesa	
limusina	
linealitat	
lingot	
lingüista	
lingüística	
línia	recta
línia	terra
línia	espectral
línia aèria	
línia del metro	
línia de metro	
línia recta	
linier	
link	
linòleum	
linx	
linxament	
liofilització	
lionès	
lionesa	
lipasa	
lípid	
lipoma	
lipoproteïna	
liposoma	
liposucció	
lipotímia	
liquació	
liquadora	
liqüefacció	
liquen	
líquid	
liquidació	
líquid de fregar	
liquiditat	
lira	
lírica	
lirisme	
liró	
lisboeta	
lisina	
lísing	
lisosoma	
lissencefàlia	
Listeria	
literalitat	
literat	
literatura	literatura
liti	lítio
litiasi	
litificació	
litigació	
litigant	
litigi	
litisconsorci	
litispendència	
litoestratigrafia	
litògraf	
litografia	
litologia	
litoral	litoral
litosfera	
litosòl	
litre	
lituà	
litúrgia	
litxi	
lividesa	
lixiviació	
lixiviat	
llac	lago
llaç	laço
llaçada	
llacor	
llacuna	
lladella	
lladrament	
lladre	
lladregot	
lladruc	
llagosta	
llagostí	
llagot	
llàgrima	
llama	
llamàntol	
llamborda	
llaminadura	
llaminer	
llamp	raio
llampec	
llampuga	
llana	lã
llança	lança
llançador	
llançadora	
llançaflames	
llançagranades	
llançament	
llançament al mercat	
llanceta	
llanda	
llanguiment	
llanositat	
llanterna	
llantió	
llanxa	
llaor	
llapis	lápis
llapis de plom	
llapis tàctil	
llar	lareira
llar	lar
llard	
llar de foc	
llar d'infants	
llargada	
llargària	
llargmetratge	
llarguesa	
llast	
llàstima	
llatí	latino
llatí	latim
llatinada	
llatinisme	
llatinista	
llatinitat	
llatinització	
llatinoamericà	
llauna	
llauner	
llaurada	
llaurador	
llaüt	
llautó	
llavador	
llavapeus	
llavi	
llavi fes	
llavi leporí	
llavor	
llebeig	
llebre	lebre
llebrer	
llec	
lledoner	
lleganya	
llegat	
llegenda	lenda
llegibilitat	
llegua	
llegum	
lleguminosa	
llei	lei
lleialtat	
lleidatà	
llei d'Ohm	
lleixa	
lleixiu	
llenç	
llenç bocaport	
llenceria	
llençol	
llengua	idioma
llengua	língua
llenguado	
llengua franca	
llengua materna	
llenguatge	
llenguatge de programació	
llengüeta	
llentia	
llentilla	
llentiscle	
llenya	
llenyataire	
lleó	leão
lleonès	
lleopard	
llepaculs	
llepaire	
llepassa	
llepolia	
llera	
llesca	
llesca amb ou	
llet	
lletada	
lletania	
llet descremada	
llet en pols	
lleter	
lleteria	
lletjor	
lletra	
lletra de canvi	
lletrat	
lletreig	
lletrisme	
lletrista	
lleuda	
lleugeresa	
lleure	
lleva	
lleva del biberó	
llevador	
llevadora	
llevaneu	
llevant	
llevantí	
llevat	levedura
llevataps	
llevataques	
lli	linho
llibertador	
llibertari	
llibertarisme	
llibertat	
llibertat condicional	
llibertat de culte	
llibertí	
llibertinatge	
llibre	livro
Llibre blanc	
llibre de cuina	
llibre de text	
llibrell	
llibreria	
llibret	
llibreta	
llibreta d'estalvis	
llibreter	
llibretista	
llibre verd	
llic.	
lliça	
llicència	
llicenciament	
llicenciat	
llicenciatura	
lliçó	
lliga	
lligabosc	
lligacama	
lligada	
lligadura	
lligall	
lligam	
lligament	
lligand	
llim	
llima	
llimac	
llimada	
llimadura	
llimbs	
llimera	
llimó	
llimona	limão
llimonada	
llimoner	
llinatge	
llinda	
llindar	
llinosa	
lliri	lírio
lliri blanc	
lliscament	
llista	
llista d'assistència	
llista de carrers	
llistat	
llistó	
llit	cama
llit	leito
llit de mort	
llitera	maca
llitera	beliche
llit familiar	
llit marí	
lliura	
lliurable	
lliurador	
lliura esterlina	
lliurament	
lliurança	
lliurat	
lliurea	
lliure canvi	
lliurecanvisme	
lliurecanvista	
lliure comerç	
lliurepensador	
lliurepensament	
lloa	
lloança	
llobarro	
llobatera	
llobató	
lloc	
lloca	
lloc de naixement	
lloc de treball	
lloc geomètric	
lloctinent	
lloc web	
llogaret	
llogarret	
llogater	
lloguer	
llom	
lloma	
llombard	
llombrígol	
llonganissa	
llonza	
llop	lobo
llop marsupial	
llorer	
llorigó	
lloriguera	
lloro	
llosa	
lloseta	
llot	
llotja	
lluc	
lluç	
llucana	
llucet	
llúdria	
lluentó	
lluentor	
lluerna	
lluïment	
lluís	
lluita	
lluitador	
lluita lliure	
llum	luz
llum d'oli	
llumenera	
llumí	
lluminària	
lluminositat	
llum solar	
lluna	lua
lluna de mel	
llunàtic	
lluneta	
llunyania	
llúpol	
llustre	
lobby	
lobel	
lòbul	
local	
localisme	
localitat	
localització	
locatiu	
locaut	
loció	
locomoció	
locomotora	
locució	
locus	
locutor	
locutori	
LOE	
lofoscòpia	
logaritme	
lògia	
lògica	
logista	
logística	
logo	
logoaudiometria	
logocentrisme	
logofòbia	
logomàquia	
logopeda	
logopèdia	
logotip	
Logse	
logudorès	
lona	
londinenc	
longanimitat	
longevitat	
longitud	
longitud d'ona	
look	
loquacitat	
lord	
lordosi	
lorenès	
lot	
loteria	
lotus	
LOU	
loxodròmia	
LR	
ltda.	
lubricació	
lubricitat	
lubrificació	
lubrificant	
lucidesa	
lucisme	
lucre	
luddisme	
ludeteca	
ludita	
ludopatia	
lugre	lugre
lumbago	
lumbàlgia	
lumen	
luminància	
luminescència	
luminisme	
l'única cosa	
lúnula	
lupa	
lupus	
lusità	
lusòfon	
lustració	
lustre	
luteci	lutécio
luteïna	
luterà	
luteranisme	
lutier	
lux	
luxació	
luxe	
luxemburguès	luxemburguês
luxemburguès	luxemburguês
luxímetre	
luxúria	
luzonià	
m	
mà	mão
maça	
macabeu	
macaco	
maçada	
macadam	
macadàmia	
macadura	
macarró	
Macba	
macedoni	
macedònia	
maceració	
maçó	
maçoneria	
macramé	
macro	
macrobiòtica	
macrocalcificació	
macrocefàlia	
macroconcert	
macrocosmos	
macrodepartament	
macroeconomia	
macroestació	
macròfag	
macroglòssia	
macromolècula	
macronucli	
macronutrient	
macroregió	
macrosector	
macrostomia	
macrourbanització	
macrozona	
màcula	
maculatura	
madame	
madeixa	
mà d'obra	
madrastra	madrasta
madridisme	
madrigal	
madrileny	madrilenho
madrilenyisme	
maduixa	morango
maduixot	
mà dura	
maduració	
maduresa	
màfia	
mag	
magatzem	
magatzematge	
magazín	
magdalena	
magenta	
màgia	
magisteri	
magistrat	
magistratura	
magma	
magnanimitat	
magnat	
magnesi	magnésio
magnèsia	
magnesita	
magnetisme	
magnetita	
magnetització	
magneto	
magnetó	
magnetoestratigrafia	
magnetòfon	
magnetòmetre	
magnetoquímica	
magnetosfera	
magnetró	
magnicidi	
magnificació	
magníficat	
magnificència	
magnitud	
magnòlia	
magrana	
magraner	
magrebí	
magret	
magribí	
maharajà	
maharaní	
maia	
maig	maio
mail	
maimó	
mainada	
mainadera	
mainell	
maionesa	
maire	
maixella	
majestat	
majestuositat	
major	
majoració	
majordom	
majordoma	
majordomia	
majoria	
majorista	
majoritat	
majúscula	
mal	
malabarisme	
malabarista	
mala bèstia	
malacologia	
mala conducta	
mala gestió	
malagueny	
malai	
malaisi	
mala jugada	
mala lluna	
malalt	
malaltia	doença
mala notícia	
mala olor	
malaptesa	
malaquita	
malària	
malat	
malawìà	
malbaratament	
malcoratge	
maldat	
maldecap	
mal de cap	
mal de coll	
mal de gola	
mal de panxa	
mal de queixal	
mal de ventre	
maldivià	
maleabilitat	
maledicció	maldição
malefici	
malenconia	
malentès	
malestar	
maleta	mala
maleter	
maletí	
malèvol	
malevolència	
malfactor	
malformació	
mal funcionament	
malgaix	
malgastador	
mal geni	
mal gust	
mal hàbit	
malià	
malícia	
malifeta	
malignitat	
mall	
malla	
mallada	
malla electrosoldada	
mal·leabilització	
mallorquí	
mallorquinista	
mallot	
malmetement	
malnat	
malnom	
malnutrició	
maloclusió	
malparit	
mal pas	
malson	
malt	malte
malta	
maltès	
malthusianisme	
maltosa	
maltractador	
maltractament	
maltractaments	
maluc	
malura	
malva	
malversació	
malvesia	
malvolença	
mama	
mamà	
mamada	
mambo	
mamella	
mamellam	
mameluc	
mamífer	
mamògraf	
mamografia	
mampara	
mamut	
manaia	
manament	
manca	
manca d'autoritat	
manca de claredat	
manca d'urbanitat	
mancança	
mancomunació	
mancomunitat	
mandant	
mandarí	
mandarina	
mandariner	
mandat	
mandatari	
mandíbula	
mandioca	
mandolina	
mandonguilla	
mandorla	
mandra	preguiça
mandril	
mandrinatge	
mandrós	
manduca	
mànec	
manefla	
mànega	
maneguet	
maneguí	
maneig	
manejabilitat	
manera	
maneta	
manga	
manganès	manganês
manglar	
mangle	
mango	
mania	
manicomi	
manicur	
manicura	
manierisme	
manifest	
manifestació	
manifestant	
màniga	manga
maniguet	
manilla	
manillar	
manilles	
maniobra	
maniobrabilitat	
manipulació	
manipulador	
maniqueisme	
maniqueu	
maniquí	
manlleu	
mannà	
manobre	
manoll	
manòmetre	
manoreductor	
manovella	
mansió	
mansuetud	
manta	cobertor
mantega	
mantegada	
mantega de cacau	
manteguera	
mantejament	
manteleta	
mantell	
manteniment	
mantissa	
mantó	
mantra	
manual	
manualitat	
manufactura	
manufacturació	
manumissió	
manuscrit	manuscrito
manutenció	
manx	
manxa	
manxec	
manxol	
manya	
manyà	
manyaga	
maó	
maoisme	
maoista	
maori	
mapa	
mapa de bits	
mapamundi	
mapatge	
maqueta	
maquetació	
maqui	
maquiavel·lisme	
maquillatge	
màquina	
maquinació	
màquina d'afaitar	
màquina de cosir	
màquina d'escriure	
maquinari	
maquinària	
maquineta	
maquineta de fer punta	
maquinista	
maquinització	
mar	mar
maraca	
maracujà	
maragda	
marasme	
marassa	
marató	
marbre	
marbre de Paros	
marc	
març	março
marca	
marcació	
marca d'aigua	
marcador	
marcassita	
marcatge	
marcatge CE	
marcià	
marcialitat	
marciment	
marc legal	
mare	mãe
marea	
marededéu	
Mare de Déu	
mare d'un primer fill	
mareig	
mareny	
marès	
maresma	
maresme	
marga	
margall	
margalló	
margarida	
margarina	
marge	
marginació	
marginalitat	
marginalització	
marginat	
marí	
maria	
marialluïsa	
marianès	
mariconera	
maridatge	
marieta	
marieta de set punts	
marihuana	
marina	
mariner	
marineria	
marioneta	
marisc	
mariscal	
marisqueig	
marisquer	
marit	marido
marjal	
marmessor	
marmita	
marmitako	
marmitó	
marmorització	
marmota	
maronita	
maror	
marquès	
marquesat	
marquesina	
marqueteria	
màrqueting	
marrà	
marrada	
marrec	
marroquí	
marroquineria	
marsellès	
marshallès	
marsopa	
marsupi	
marsupial	
marta	
martell	martelo
martelleig	
martellet	
martell piló	
mart gibelí	
martinet de nit	
martinet ros	
martingala	
màrtir	
martiri	martírio
martirologi	
marxa	
marxador	
marxamo	
marxandatge	
marxant	
marxisme	
marxista	
mas	
màscara	
mascarada	
mascaró	
mascarot	
mascarpone	
mascle	
masclet	
masclisme	machismo
masclista	
mascota	
masculinitat	
màser	
masia	
masmorra	
masoquisme	
masoquista	
massa	
massacre	
massapà	
massa terrestre	
massatge	
massatgista	
masseter	
massificació	
massilla	
massís	
mass media	
mastectomia	
masteler	
màster	
mastí	
màstic	
masticació	
mastitis	
mastòcit	
mastodont	
mastografia	
masturbació	
masurca	
mat	
matadissa	
matador	
matalàs	
matalasset	
matança	
matemàtic	
matemàtica	
matematització	
matèria	
material	
material de rebuig	
material d'unió	
materialisme	
materialista	
materialitat	
materialització	
matèria primera	
maternitat	
matí	manhã
matinada	
matiné	
matines	
matís	
matisació	
mató	
matoll	
matollar	
matràs	
matriarcat	
matricidi	
matrícula	
matriculació	
matrimoni	
matrioixca	
matriu	
matrona	
matusseria	
matx	
matxet	
mauricià	
maurità	
mausoleu	
maxil·lar inferior	
màxim	
màxima	
maximalisme	
maximalista	
maxímetre	
maximització	
maxwell	
Mb	
MB	
meandre	
MEC	
meca	
mecànic	
mecànica	
mecanicisme	
mecanicista	
mecanisme	
mecanització	
mecano	
mecanògraf	
mecanografia	
mecanoteràpia	
mecatrònica	
mecenatge	
mecenes	
meconi	
medalla	
medallista	
medalló	
mede	
medecina	
medi	
mediació	mediação
mediador	
medi ambient	
mediana	
mediateca	
mediatització	
mediatriu	
medicació	
medicament	
medicament subvencionat	
medicina	
medievalitat	
medi físic	
medi humà	
medi marí	
medina	
medi natural	
mediocritat	
meditació	
medul·la	
medusa	medusa
mega	
megabit	
megabotiga	
megabyte	
megacariòcit	
megacòlon	
megafauna	
megàfon	
megafonia	
megahertz	
megàlit	
megalitisme	
megalòman	
megalomania	
megalòpoli	
megaoctet	
megapíxel	
megaprojecte	
megatona	
megavat	
meiosi	
meitat	
mel	mel
melamina	
melanina	
melanòcit	
melanogènesi	
melanoma	
melassa	
melcoratge	
melé	
melic	
melindro	
melisma	
melissa	
mel·lificació	
melmelada	
meló	melão
meló d'Alger	
melodia	
melodrama	
melòman	
melonar	
melositat	
melsa	
melva	
membrana	
membre	
memento	
memoràndum	
memòria	memória
memòria cau	
memorial	
memorialista	
memorització	
mena	
mènada	
menarquia	
menció	
menció honorífica	
mendelevi	mendelévio
mendicant	
mendicitat	
menester	
menestral	
menfotisme	
menfotista	
menhir	
meninge	
meningitis	
meningococ	
menisc	
menjada	
menjador	
menjadora	
menjar	comer
menjar porqueria	
menjar ràpid	
menopausa	
menor	
menorquí	
menorràgia	
menovell	
menstruació	
mensualitat	
mènsula	
ment	mente
menta	
mentalisme	mentalismo
mentalista	
mentalitat	
mentalització	
mentida	
mentider	
mentó	
mentol	
mentonera	
mentor	
menú	
menuderia	
menudesa	
menys	
menyscapte	
menyscapte de diners	
menyspreu	
menysvaloració	
meravella	
mercadeig	
mercader	
mercaderia	
mercant	
mercantilisme	
mercantilista	
mercantilització	
mercat	
mercat de valors	
mercat no organitzat	
mercè	
mercedari	
mercenari	
mercer	
merceria	
mercerització	
merchandising	
merci	
mercuri	mercúrio
mercurial	
merda	
mereixedor	
mereixement	
merenga	merengue
meridià	
meristema	
mèrit	
meritació	
merla	
merlet	merlão
mero	
mes	mês
mesa	
mesa de contractació	
mesa d'edat	
mesa de las Cortes	
mesa de las Corts	
mesa del Congreso	
mesa electoral	
mesa general de negociació	
mesa sectorial	
mesa tècnica	
mescla	
mescladissa	
mesencèfal	
més enllà	
mesènquima	
mesenteri	
mesó	méson
mesocarpi	
mesocicle	
mesocràcia	
mesoderma	
mesolític	
mesosfera	
mesoteràpia	
mesquer	
mesquinesa	
mesquita	mesquita
messes	
messianisme	
mester	
mestís	
mestissatge	
mestral	
mestratge	
mestre	
mestressa	
mestressa de casa	
mestria	
mesura	
mesurabilitat	
mesurador	
mesurament	
meta	
metà	
metabolisme	
metabòlit	
metacarp	
metacercador	
metacognició	
metacrilat	
metadada	
metadona	
metaetiqueta	
metafase	
metaficció	
metafísic	
metafísica	
metàfora	
metahemoglobina	
metahemoglobinèmia	
metaliteratura	
metall	
metallenguatge	
metal·listeria	
metal·lització	
metal·lòfon	
metal·loide	
metal·lúrgia	
metamfetamina	
metamorfisme	
metamorfosi	
metanàlisi	
metaner	
metanització	
metanol	
metasomatisme	
metàstasi	
metatars	
metàtesi	
metec	
meteor	
meteorisme	
meteorit	
meteorització	
meteoròleg	
meteorologia	
metge	
metge de capçalera	
metge de família	
metge de guàrdia	
meticulositat	
metil	
metilació	
metilanilina	
metilè	
metiletilcetona	
metilmercuri	
metionina	
mètode	
mètode de pagament	
metodisme	
metodologia	
metonímia	
mètopa	
metralla	
metralleta	
metratge	
metre	metro
mètrica	
metrificació	
metro	
metrologia	
metrònom	
metròpoli	
metropolità	
metrorràgia	
metrotècnia	
metxa	
meuca	
mexicà	
mezzosoprano	
mg	
miàlgia	
miasma	
miastènia greu	
MIBOR	
mica	
micaesquist	
micció	
miceli	
micel·la	
mico	
micofenolat de mofetil	
micologia	
micorriza	
micorrizació	
micosi	
micotoxina	
micra	
micro	
microbi	
microbiòleg	
microbiologia	
microblog	
microbús	
microcefàlia	
microcicle	
microclima	
microcodi	
microcontrolador	
microcosmos	
microcrèdit	
microeconomia	
microedició	
microelectrònica	
microempresa	
microentitat	
microestat	
microestructura	
microfibra	
microfilament	
microfilm	
microfilmació	
microfinançament	
microfitxa	
micròfon	
microfotografia	
microgestió	
microgram	
microgravetat	
microinformàtica	
microinjecció	
micròlit	
micromecanització	
micromecenatge	
micròmetre	
microminiaturització	
micromonografia	
micronesià	
micronització	
micronucli	
microona	
microones	
microordinador	
microorganisme	
micropaleontologia	
microplàncton	
microprocessador	
microprogramari	
microprojecte	
microregió	
microrelat	
microreserva	
microsatèl·lit	
microscopi	
microscòpia	
microsegon	
microsoma	
micròtom	
microtúbul	
microvellositat	
microweb	
microxip	
mida	
MIDI	
midó	
midriasi	
mielencèfal	
mielina	
mielinització	
mielodisplàsia	
mielografia	
mielograma	
mieloma	
mig	
migcampista	
mig centenar	
migdia	meio-dia
migdia	meio-dia
migdiada	
migfondista	
migjorn	
migració	
migranya	
mig vessant	
milà	
milanès	
milanista	
míldiu	
miler	
mileurisme	
mileurista	
milfulls	
mili	
miliard	
milicià	
milícia	
milió	milhão
milionada	
milionari	
militància	
militant	
militar	
militarisme	
militarista	
militarització	
mill	milhete
milla	
mil·lenarisme	
mil·lenni	
mil·lèsima	
mil·ligram	
mil·lilitre	
mil·límetre	
mil·lisegon	
mil·liwatt	
millora	
millorament	
millorança	
millorant	
mil milions	
miloca	
milotxa	
milpeus	
mimetisme	
mimetització	
mímica	
mimosa	
min.	
mina	mina
minaret	
miner	
mineral	
mineralització	
mineralogia	
mineria	
mini	
miniaplicació	
miniatura	
miniaturista	
miniaturització	
minibús	
minicadena	
minicimera	
minicine	
miniempresa	
minifaldilla	
minifregadora	
minifundi	
minifundisme	
minijoc	
mínim	
mínima	
minimalisme	
minimalista	
minimis	
minimització	
miniordinador	
minisèrie	
minisessió	
ministeri	
ministeri d'hisenda	
ministre	
ministre d'hisenda	
ministrer	
minoració	
minoria	
minorista	
minoritat	
minorització	
minotaure	
minúcia	
minuciositat	
minuend	
minuet	
minusvàlid	
minusvalidesa	
minut	
minuta	
minutera	
minva	
minvament	
minvant	
minvell	
minyó	
minyona	
miocardi	
miocardiopatia	
miocarditis	
miocè	
miofilament	
mioglobina	
miop	
miopatia	
miopia	
miquelet	
mira	
mirabilita	
miracle	milagre
mirada	
mirador	
mirall	espelho
mirament	
miranda	
mirandès	
miratge	miragem
miríada	
miriade	
miriàpode	
mirinyac	crinolina
mirra	
mirtil	
misantrop	
misantropia	
miscel·lània	
miscibilitat	
misèria	
misericòrdia	
misogínia	
misòleg	
missa	missa
missal	
missatge	
missatger	
missatgeria	
misser	
míssil	
missió	
missioner	
missiva	
mistela	
míster	
misteri	mistério
místic	
misticisme	
mistificació	
misto	
mitat	
mite	
mite d'Eco	
mitena	
mitger	
mitgeria	
mitges	
mitificació	
mitigació	
míting	
mitja	
mitjà	
mitjacanya	
mitjà de comunicació	
mitjà de pagament	
mitjà humà	
mitja lluna	
mitjana	
mitjana distància	
mitjancer	
mitjania	
mitjanit	
mitjà social	
mitjó	meia
